"RecordNo";"Q5";"Q6";"Index1";"Index2";"Index3";"Index4";"Index5";"Index6";"Index7";"Index8";"Index9";"Index10";"Index11";"Index12";"Index13";"Index14";"Index15";"Index16";"Index17";"Index18";"Index19";"Index20"
1824;104;103;;;;;;;;;;;;;;;;;;;;
1828;103;105;;;;;;;;;;;;;;;;;;;;
1838;101;102;;;;;;;;;;;;;;;;;;;;
1846;104;105;;;;;;;;;;;;;;;;;;;;
1851;104;105;;;;;;;;;;;;;;;;;;;;
1860;104;102;;;;;;;;;;;;;;;;;;;;
1863;104;105;;;;;;;;;;;;;;;;;;;;
1866;104;105;;;;;;;;;;;;;;;;;;;;
1869;104;102;;;;;;;;;;;;;;;;;;;;
1870;104;105;;;;;;;;;;;;;;;;;;;;
1873;104;105;;;;;;;;;;;;;;;;;;;;
1909;104;105;;;;;;;;;;;;;;;;;;;;
1924;104;105;;;;;;;;;;;;;;;;;;;;
1928;104;102;;;;;;;;;;;;;;;;;;;;
1938;103;104;;;;;;;;;;;;;;;;;;;;
1945;104;102;;;;;;;;;;;;;;;;;;;;
1958;104;101;;;;;;;;;;;;;;;;;;;;
1959;104;105;;;;;;;;;;;;;;;;;;;;
